,NAME,index_right,RTE,DIR,KEYITEM,RTE_DESC,DIR_DESC,ROUTE,TYPE
235,PORTLAND DOWNTOWN,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
275,HAZELWOOD,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
276,OLD TOWN/ CHINATOWN,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
304,POWELLHURST-GILBERT,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
348,SOUTHGATE,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
2,LLOYD DISTRICT COMMUNITY ASSN./SULLIVAN'S GULCH,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
7,SYLVAN-HIGHLANDS/SOUTHWEST HILLS RESIDENTIAL LEAGUE,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
10,FIVE OAKS/TRIPLE CREEK,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
37,WEST SLOPE,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
42,CPO 7 SOMMERSET WEST-ELMONICA S,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
50,CENTRAL BEAVERTON,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
59,ROCKWOOD,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
120,MADISON SOUTH,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
195,ARLINGTON HEIGHTS,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
196,ARLINGTON HEIGHTS/SYLVAN-HIGHLANDS,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
209,ROSE CITY PARK,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
220,HOLLYWOOD,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
222,LLOYD DISTRICT COMMUNITY ASSOCIATION,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
223,SULLIVAN'S GULCH,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
225,MONTAVILLA,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
226,LAURELHURST,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
230,KERNS,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
234,GLENFAIR,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
235,PORTLAND DOWNTOWN,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
237,GOOSE HOLLOW/SOUTHWEST HILLS,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
275,HAZELWOOD,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
276,OLD TOWN/ CHINATOWN,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
296,SYLVAN-HIGHLANDS,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
297,GOOSE HOLLOW,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
333,CPO 9 HILLSBORO,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
408,CPO 1 CEDAR HILLS-CEDAR MILL S,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
421,GRESHAM - NORTHWEST,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
423,CENTRAL CITY,172,100,0,1000,MAX Blue Line,To Gresham,MAX,MAX
2,LLOYD DISTRICT COMMUNITY ASSN./SULLIVAN'S GULCH,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
7,SYLVAN-HIGHLANDS/SOUTHWEST HILLS RESIDENTIAL LEAGUE,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
10,FIVE OAKS/TRIPLE CREEK,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
37,WEST SLOPE,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
